Game,"Skin Name","Withdraw Price"
CS2,"★ M9 Bayonet | Gamma Doppler Phase 1 (Factory New)",1385.56
CS2,"★ M9 Bayonet | Lore (Factory New)",1385.33
CS2,"Souvenir AWP | Desert Hydra (Well-Worn)",1382.4
CS2,"★ M9 Bayonet | Autotronic (Factory New)",1368.32
CS2,"★ StatTrak™ M9 Bayonet | Gamma Doppler (Factory New)",1368.32
CS2,"★ Sport Gloves | Ultra Violent (Field-Tested)",1445.05
CS2,"★ StatTrak™ Nomad Knife | Doppler Ruby (Factory New)",1362.12
CS2,"★ StatTrak™ Karambit | Lore (Factory New)",1354.69
CS2,"★ Specialist Gloves | Cloud Chaser (Minimal Wear)",1415.76
CS2,"AK-47 | Fire Serpent (Minimal Wear)",1333.76
CS2,"★ M9 Bayonet | Gamma Doppler Phase 3 (Factory New)",1322.45
CS2,"M4A4 | Poseidon (Field-Tested)",1320.15
CS2,"★ Karambit | Marble Fade (Minimal Wear)",1308.59
CS2,"★ M9 Bayonet | Gamma Doppler Phase 4 (Factory New)",1308.59
CS2,"★ M9 Bayonet | Gamma Doppler (Factory New)",1303.1
CS2,"★ Nomad Knife | Doppler Black Pearl (Factory New)",1299.71
CS2,"★ Butterfly Knife | Tiger Tooth (Minimal Wear)",1293.2
CS2,"★ Karambit | Autotronic (Minimal Wear)",1283.96
CS2,"★ Butterfly Knife | Slaughter (Field-Tested)",1277.65
CS2,"M4A4 | Poseidon (Minimal Wear)",1267.02
CS2,"★ Butterfly Knife | Blue Steel (Factory New)",1262.4
CS2,"★ Stiletto Knife | Doppler Sapphire (Minimal Wear)",1258.6
CS2,"★ Butterfly Knife | Crimson Web (Minimal Wear)",1256.86
CS2,"★ Butterfly Knife | Tiger Tooth (Factory New)",1252.86
CS2,"★ Hand Wraps | Leather (Factory New)",1252.86
CS2,"Souvenir M4A1-S | Imminent Danger (Minimal Wear)",1248.13
CS2,"★ Karambit | Slaughter (Factory New)",1247.01
CS2,"Souvenir AWP | Desert Hydra (Battle-Scarred)",1247.01
CS2,"★ Driver Gloves | Imperial Plaid (Factory New)",1242.9
CS2,"★ Specialist Gloves | Foundation (Field-Tested)",1239.24
CS2,"★ Karambit | Blue Steel (Factory New)",1232.71
CS2,"★ Stiletto Knife | Doppler Sapphire (Factory New)",1231.61
CS2,"★ StatTrak™ Karambit | Autotronic (Minimal Wear)",1226.99
CS2,"★ StatTrak™ Karambit | Marble Fade (Factory New)",1223.83
CS2,"★ M9 Bayonet | Doppler Phase 4 (Factory New)",1223.69
CS2,"★ Sport Gloves | Scarlet Shamagh (Factory New)",1216.22
CS2,"★ StatTrak™ M9 Bayonet | Doppler Phase 4 (Factory New)",1210.06
CS2,"★ Specialist Gloves | Field Agent (Factory New)",1207.44
CS2,"★ Butterfly Knife | Autotronic (Minimal Wear)",1205.44
CS2,"★ M9 Bayonet | Doppler Phase 4 (Minimal Wear)",1200.82
CS2,"★ Karambit | Marble Fade (Factory New)",1200.82
CS2,"AUG | Akihabara Accept (Minimal Wear)",1200.67
CS2,"★ Driver Gloves | Lunar Weave (Field-Tested)",1200.59
CS2,"M4A4 | Daybreak (Factory New)",1192.97
CS2,"StatTrak™ M4A1-S | Printstream (Factory New)",1185.42
CS2,"★ StatTrak™ Butterfly Knife | Lore (Minimal Wear)",1185.42
CS2,"★ Sport Gloves | Slingshot (Minimal Wear)",1185.35
CS2,"★ Karambit",1182.88
CS2,"★ StatTrak™ M9 Bayonet | Fade (Factory New)",1177.73
CS2,"Glock-18 | Twilight Galaxy (Factory New)",1169.73
CS2,"★ Hand Wraps | Slaughter (Minimal Wear)",1162.33
CS2,"★ Butterfly Knife | Lore (Minimal Wear)",1160.16
CS2,"★ Sport Gloves | Violet Beadwork (Minimal Wear)",1220.62
CS2,"★ M9 Bayonet | Doppler Phase 1 (Minimal Wear)",1154.13
CS2,"★ Sport Gloves | Superconductor (Battle-Scarred)",1148.17
CS2,"★ Hand Wraps | Badlands (Minimal Wear)",1137.4
CS2,"★ StatTrak™ Talon Knife | Doppler Phase 2 (Factory New)",1134.98
CS2,"★ StatTrak™ M9 Bayonet | Doppler Phase 1 (Factory New)",1123.84
CS2,"★ Talon Knife | Doppler Phase 2 (Minimal Wear)",1122.51
CS2,"★ M9 Bayonet | Night (Factory New)",1118.76
CS2,"★ Karambit | Crimson Web (Minimal Wear)",1115.77
CS2,"★ M9 Bayonet | Fade (Minimal Wear)",1108.45
CS2,"★ M9 Bayonet | Doppler Phase 3 (Minimal Wear)",1108.45
CS2,"★ M9 Bayonet | Doppler (Minimal Wear)",1108.45
CS2,"★ M9 Bayonet | Case Hardened (Factory New)",1108.38
CS2,"★ Talon Knife | Doppler Phase 2 (Factory New)",1105.37
CS2,"★ Hand Wraps | Leather (Minimal Wear)",1101.52
CS2,"AWP | Fade (Minimal Wear)",1097.6
CS2,"★ StatTrak™ M9 Bayonet | Slaughter (Factory New)",1093.06
CS2,"M4A1-S | Welcome to the Jungle (Field-Tested)",1091.21
CS2,"★ M9 Bayonet | Doppler Phase 1 (Factory New)",1087.67
CS2,"★ StatTrak™ M9 Bayonet | Doppler Phase 3 (Factory New)",1085.36
CS2,"★ Karambit | Black Laminate (Factory New)",1085.36
CS2,"★ Moto Gloves | Eclipse (Factory New)",1074.59
CS2,"AK-47 | B the Monster (Factory New)",1071.19
CS2,"★ M9 Bayonet | Fade (Factory New)",1068.35
CS2,"★ StatTrak™ M9 Bayonet | Doppler (Factory New)",1065.81
CS2,"★ M9 Bayonet | Doppler Phase 3 (Factory New)",1062.27
CS2,"StatTrak™ AWP | Oni Taiji (Factory New)",1062.19
CS2,"★ StatTrak™ Karambit | Tiger Tooth (Factory New)",1062.11
CS2,"★ Sport Gloves | Nocts (Minimal Wear)",1054.42
CS2,"Boston 2018 Cobblestone Souvenir Package",1053.87
CS2,"★ Nomad Knife | Doppler Sapphire (Minimal Wear)",1052.44
CS2,"★ Karambit | Slaughter (Minimal Wear)",1051.49
CS2,"★ M9 Bayonet | Doppler (Factory New)",1051.41
CS2,"AWP | Fade (Factory New)",1045.02
CS2,"★ Huntsman Knife | Doppler Ruby (Factory New)",1043.33
CS2,"★ Specialist Gloves | Lime Polycam (Minimal Wear)",1090
CS2,"★ Talon Knife | Doppler (Minimal Wear)",1028.6
CS2,"★ Moto Gloves | Boom! (Minimal Wear)",1026.24
CS2,"★ StatTrak™ Talon Knife | Doppler Phase 1 (Factory New)",1021.68
CS2,"Desert Eagle | Fennec Fox (Factory New)",1018.69
CS2,"★ Karambit | Tiger Tooth (Minimal Wear)",1018.39
CS2,"★ Karambit | Autotronic (Field-Tested)",1011.46
CS2,"★ StatTrak™ Talon Knife | Fade (Factory New)",1008.38
CS2,"★ Butterfly Knife | Autotronic (Field-Tested)",1006.23
CS2,"★ Karambit | Tiger Tooth (Factory New)",1001.84
CS2,"★ StatTrak™ Talon Knife | Doppler Phase 3 (Factory New)",1000.69
CS2,"★ StatTrak™ Karambit | Lore (Minimal Wear)",1000.53
